trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.8, 'e': 0.20766723081839245}",25,10,-0.801309834485306,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.20455222235611656}",20,8,20.615439005401736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.2014839390207748}",25,10,25.269916442279847,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.19846167993546318}",20,12,4.309068132327478,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.19548475473643123}",20,1,18.461599924666178,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.19255248341538475}",20,5,1.414758952263805,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.8, 'e': 0.18966419616415398}",25,15,18.333978350643083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.18681923322169167}",20,14,11.163175296651936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.1840169447233663}",30,5,27.931778587278423,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.1812566905525158}",20,7,8.777952419261213,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.8, 'e': 0.17853784019422805}",20,0,-0.3448884013587872,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.8, 'e': 0.17585977259131463}",25,0,-15.244772736944055,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.8, 'e': 0.17322187600244493}",30,19,18.523543366633604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.17062354786240824}",20,15,4.1859184444872835,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.16806419464447211}",20,14,9.127796201352583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.16554323172480503}",25,13,25.360530042389698,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.16306008324893295}",30,24,8.743921134788025,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.16061418200019895}",25,0,25.435645245639396,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.8, 'e': 0.15820496927019598}",35,21,-30.83325769102847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.8, 'e': 0.15583189473114303}",20,16,6.932423641418777,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.15349441631017588}",30,21,-23.684595870458438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.8, 'e': 0.15119200006552325}",20,0,-31.019071572871557,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.8, 'e': 0.1489241200645404}",20,15,10.507715608708889,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.1466902582635723}",25,0,-12.669886014149352,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.8, 'e': 0.1444899043896187}",25,0,23.21871744320171,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.8, 'e': 0.1423225558237744}",20,16,8.073484298273737,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.14018771748641778}",25,14,20.45575179230466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.13808490172412152}",20,0,20.6917424148873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.8, 'e': 0.1360136281982597}",20,0,13.045311528204088,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.13397342377528582}",30,10,-47.46098481003783,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
135,False,"{'a': 0.8, 'e': 0.1319638224186565}",25,17,15.254776471845437,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.12998436508237665}",20,11,3.336930462271637,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.12803459960614103}",25,5,3.2276953413654006,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.1261140806120489}",20,4,28.119825490847088,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.12422236940286815}",20,9,19.554311349606984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.12235903386182513}",25,15,18.787091999676754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.12052364835389776}",25,6,6.16864918942873,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.11871579362858929}",20,9,8.893584125447545,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.11693505672416045}",25,20,9.335368758435513,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
