trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.8, 'e': 0.1709072898518191}",20,8,20.123779558801395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.16578007115626453}",25,13,16.39739074601575,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.1608066690215766}",20,0,12.153257405102394,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.1559824689509293}",20,0,27.986383341244306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.15130299488240143}",25,7,-17.524046782448444,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.8, 'e': 0.14676390503592937}",25,7,-27.186562182036077,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.8, 'e': 0.1423609878848515}",25,19,10.137891494587652,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.13809015824830592}",20,6,-62.946173598541435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
67,False,"{'a': 0.8, 'e': 0.13394745350085674}",20,9,10.65431672873838,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.12992902989583105}",20,6,4.536694884324042,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.12603115899895612}",20,13,1.460664896276982,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.12225022422898742}",30,12,0.8321035400084034,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.1185827175021178}",30,13,15.25153828050528,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.11502523597705426}",20,6,13.818479382343577,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.11157447889774263}",20,6,21.713262391327707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.10822724453081034}",35,10,31.99212844076902,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.10498042719488604}",20,6,21.02266178116114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.10183101437903945}",30,20,8.110119919635341,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.09877608394766826}",30,21,13.957598934068786,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.09581280142923822}",25,15,18.425467894438913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
